epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
120,0.5666,0.48765,1.05071,0.337,0.30862,0.87452,0.93278,0.91965,0.96218,0.90836,0.0041095,0.0041095,0.0041095
121,0.56726,0.48897,1.05058,0.33762,0.31103,0.87361,0.95261,0.89728,0.96212,0.9076,0.00406,0.00406,0.00406
122,0.56248,0.48189,1.0491,0.33833,0.31002,0.87439,0.93196,0.91927,0.9627,0.90968,0.0040105,0.0040105,0.0040105
123,0.55782,0.47696,1.04829,0.33574,0.30861,0.87347,0.92352,0.92253,0.96255,0.9107,0.003961,0.003961,0.003961
124,0.55713,0.47757,1.04193,0.33502,0.30715,0.87457,0.94001,0.91485,0.96307,0.91011,0.0039115,0.0039115,0.0039115
125,0.5625,0.47347,1.04767,0.33377,0.30481,0.87494,0.93621,0.91548,0.96412,0.91241,0.003862,0.003862,0.003862
126,0.55891,0.47536,1.04918,0.33449,0.30415,0.87476,0.92856,0.92064,0.96365,0.91059,0.0038125,0.0038125,0.0038125
127,0.55254,0.47231,1.04351,0.33674,0.30707,0.87696,0.92743,0.92427,0.96369,0.91067,0.003763,0.003763,0.003763
128,0.55422,0.47495,1.04564,0.33528,0.30705,0.87569,0.9291,0.91857,0.96319,0.91013,0.0037135,0.0037135,0.0037135
129,0.55185,0.47453,1.0426,0.33644,0.30532,0.87606,0.94338,0.90953,0.96363,0.91107,0.003664,0.003664,0.003664
130,0.54915,0.46677,1.04824,0.33684,0.30454,0.87617,0.94559,0.90836,0.96413,0.91278,0.0036145,0.0036145,0.0036145
131,0.54685,0.46552,1.04094,0.33569,0.30521,0.87771,0.94491,0.90951,0.96411,0.91279,0.003565,0.003565,0.003565
132,0.54868,0.46793,1.04309,0.33533,0.30704,0.87758,0.93883,0.91228,0.96334,0.91259,0.0035155,0.0035155,0.0035155
133,0.54353,0.45417,1.03666,0.333,0.3053,0.87686,0.94442,0.90979,0.96321,0.91246,0.003466,0.003466,0.003466
134,0.53977,0.4605,1.03289,0.33492,0.30525,0.87801,0.94637,0.90743,0.96304,0.91248,0.0034165,0.0034165,0.0034165
135,0.54323,0.45162,1.03755,0.33561,0.30765,0.8793,0.94786,0.90273,0.96253,0.91226,0.003367,0.003367,0.003367
136,0.54534,0.44976,1.04272,0.33482,0.30801,0.88025,0.93109,0.91874,0.96224,0.91162,0.0033175,0.0033175,0.0033175
137,0.53942,0.44619,1.0346,0.33254,0.30852,0.87919,0.93031,0.91924,0.96206,0.91114,0.003268,0.003268,0.003268
138,0.54292,0.45887,1.03961,0.33295,0.30884,0.88008,0.92758,0.91972,0.96196,0.9112,0.0032185,0.0032185,0.0032185
139,0.53182,0.44297,1.03077,0.33223,0.30636,0.87823,0.93836,0.90699,0.96227,0.9118,0.003169,0.003169,0.003169
140,0.53717,0.44801,1.03196,0.33168,0.30503,0.87801,0.93438,0.90866,0.96246,0.9109,0.0031195,0.0031195,0.0031195
