epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
146,0.65337,0.49036,1.16286,0.39897,0.3457,0.94266,0.94849,0.90307,0.9589,0.89065,0.0028225,0.0028225,0.0028225
147,0.65196,0.49774,1.16762,0.39864,0.3451,0.94304,0.94533,0.90693,0.95886,0.89133,0.002773,0.002773,0.002773
148,0.64867,0.49962,1.16475,0.39882,0.34392,0.94311,0.94344,0.90846,0.95867,0.89129,0.0027235,0.0027235,0.0027235
149,0.64002,0.48982,1.15959,0.39973,0.34374,0.9436,0.94761,0.90499,0.95832,0.89062,0.002674,0.002674,0.002674
150,0.64566,0.49096,1.16275,0.40007,0.34329,0.94394,0.9526,0.89996,0.95844,0.88959,0.0026245,0.0026245,0.0026245
151,0.64115,0.4935,1.15745,0.40024,0.34335,0.94382,0.95266,0.89986,0.95876,0.88951,0.002575,0.002575,0.002575
152,0.64056,0.48716,1.16061,0.3994,0.34375,0.94281,0.95347,0.90027,0.95827,0.88863,0.0025255,0.0025255,0.0025255
153,0.63027,0.48272,1.15708,0.39858,0.34457,0.94228,0.9494,0.9001,0.95809,0.88928,0.002476,0.002476,0.002476
154,0.63973,0.48936,1.16059,0.39832,0.34414,0.94233,0.9477,0.90141,0.95805,0.88856,0.0024265,0.0024265,0.0024265
155,0.63492,0.47864,1.15532,0.3977,0.34445,0.94215,0.94702,0.90045,0.95804,0.88889,0.002377,0.002377,0.002377
156,0.62617,0.47011,1.14467,0.3967,0.34516,0.94138,0.94494,0.90184,0.95743,0.88839,0.0023275,0.0023275,0.0023275
157,0.63493,0.48109,1.15322,0.39671,0.34604,0.94157,0.94932,0.90022,0.9571,0.88736,0.002278,0.002278,0.002278
158,0.62256,0.46855,1.14062,0.39718,0.34613,0.94253,0.9497,0.8933,0.95659,0.88734,0.0022285,0.0022285,0.0022285
159,0.6291,0.47713,1.15223,0.39682,0.3461,0.94271,0.94751,0.89482,0.95625,0.88734,0.002179,0.002179,0.002179
160,0.62574,0.47103,1.14934,0.39676,0.3469,0.94262,0.93983,0.89988,0.9562,0.88772,0.0021295,0.0021295,0.0021295
161,0.62453,0.47202,1.14567,0.39771,0.34814,0.94362,0.93828,0.90044,0.95625,0.88867,0.00208,0.00208,0.00208
162,0.62026,0.47113,1.14616,0.3976,0.34848,0.94337,0.9373,0.90517,0.95662,0.8879,0.0020305,0.0020305,0.0020305
163,0.61871,0.4616,1.13577,0.39752,0.3486,0.94345,0.93975,0.90321,0.9567,0.88773,0.001981,0.001981,0.001981
164,0.6102,0.45592,1.1334,0.39723,0.34795,0.94261,0.94974,0.89383,0.95687,0.888,0.0019315,0.0019315,0.0019315
165,0.60969,0.45183,1.13635,0.39702,0.34753,0.94194,0.95126,0.89592,0.95733,0.88813,0.001882,0.001882,0.001882
166,0.61686,0.46661,1.14065,0.39637,0.34661,0.94134,0.95278,0.89493,0.95674,0.88854,0.0018325,0.0018325,0.0018325
167,0.61234,0.46616,1.1411,0.39627,0.34581,0.94109,0.95278,0.89442,0.95688,0.88886,0.001783,0.001783,0.001783
168,0.60996,0.45305,1.13698,0.39629,0.34479,0.94122,0.95542,0.89364,0.95705,0.88979,0.0017335,0.0017335,0.0017335
169,0.60832,0.45298,1.13505,0.39643,0.34485,0.94142,0.95388,0.89389,0.95741,0.89058,0.001684,0.001684,0.001684
170,0.60824,0.45206,1.1404,0.3962,0.34418,0.94131,0.95378,0.89419,0.95734,0.88975,0.0016345,0.0016345,0.0016345
171,0.59985,0.44981,1.13347,0.39598,0.34441,0.94108,0.95309,0.89569,0.95745,0.88991,0.001585,0.001585,0.001585
172,0.6021,0.44724,1.12985,0.39581,0.34415,0.94132,0.9497,0.89812,0.95731,0.88956,0.0015355,0.0015355,0.0015355
173,0.59777,0.44425,1.1317,0.39633,0.34401,0.94153,0.95008,0.8966,0.95743,0.88929,0.001486,0.001486,0.001486
174,0.59799,0.44515,1.13021,0.39714,0.34447,0.94221,0.94968,0.89393,0.95729,0.88963,0.0014365,0.0014365,0.0014365
175,0.5881,0.44373,1.12062,0.39762,0.34417,0.94279,0.94807,0.8954,0.95748,0.89003,0.001387,0.001387,0.001387
176,0.60133,0.45016,1.13469,0.39778,0.34345,0.94269,0.94519,0.89902,0.95738,0.89055,0.0013375,0.0013375,0.0013375
177,0.5902,0.44456,1.12335,0.3978,0.34264,0.94298,0.94206,0.90371,0.95721,0.89034,0.001288,0.001288,0.001288
178,0.59396,0.44622,1.12879,0.39808,0.34238,0.94366,0.94225,0.90112,0.95702,0.89034,0.0012385,0.0012385,0.0012385
179,0.59252,0.44637,1.12767,0.3978,0.34233,0.9435,0.94424,0.89586,0.95704,0.88967,0.001189,0.001189,0.001189
180,0.59297,0.43862,1.12253,0.39784,0.34256,0.94367,0.94281,0.89687,0.95696,0.88977,0.0011395,0.0011395,0.0011395
181,0.58167,0.43392,1.11848,0.39803,0.34242,0.94397,0.94505,0.89381,0.95681,0.8903,0.00109,0.00109,0.00109
182,0.58417,0.43711,1.1191,0.39814,0.34255,0.94432,0.94473,0.89511,0.9568,0.89034,0.0010405,0.0010405,0.0010405
183,0.58401,0.43671,1.12231,0.39846,0.34273,0.9446,0.94593,0.89578,0.95667,0.89001,0.000991,0.000991,0.000991
184,0.58266,0.43502,1.11697,0.39844,0.34301,0.9447,0.94733,0.89187,0.95692,0.88977,0.0009415,0.0009415,0.0009415
185,0.58018,0.43859,1.11944,0.3983,0.34338,0.94485,0.94715,0.89195,0.95679,0.8894,0.000892,0.000892,0.000892
186,0.57601,0.42747,1.1174,0.39804,0.34396,0.94473,0.94688,0.89272,0.95686,0.8892,0.0008425,0.0008425,0.0008425
187,0.57083,0.41981,1.11262,0.39752,0.3439,0.94434,0.94693,0.89318,0.9569,0.88998,0.000793,0.000793,0.000793
188,0.57045,0.4313,1.11238,0.39731,0.34427,0.94409,0.94733,0.89312,0.95688,0.89012,0.0007435,0.0007435,0.0007435
189,0.56776,0.42961,1.11556,0.39714,0.34389,0.94379,0.94904,0.89281,0.95673,0.88962,0.000694,0.000694,0.000694
190,0.57312,0.42664,1.11536,0.39713,0.3439,0.9437,0.95001,0.8923,0.95661,0.88979,0.0006445,0.0006445,0.0006445
191,0.35146,0.20714,0.87611,0.39728,0.34422,0.94386,0.94632,0.8936,0.95671,0.89014,0.000595,0.000595,0.000595
192,0.34565,0.20272,0.8734,0.39687,0.34392,0.94386,0.94523,0.89437,0.95648,0.89026,0.0005455,0.0005455,0.0005455
193,0.33905,0.19831,0.86708,0.39766,0.34489,0.9449,0.94559,0.89393,0.95645,0.89028,0.000496,0.000496,0.000496
194,0.3402,0.19995,0.86887,0.39763,0.34534,0.94476,0.94525,0.89472,0.95679,0.89067,0.0004465,0.0004465,0.0004465
