epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,84667.7,0.62217,0.51976,1.1669,0.93802,0.89995,0.9546,0.87894,0.42869,0.38336,0.95416,0.004159,0.004159,0.004159
120,85264.3,0.63191,0.53452,1.17471,0.93932,0.89462,0.95627,0.88051,0.43067,0.38213,0.9556,0.0041095,0.0041095,0.0041095
121,85876,0.62354,0.53131,1.17002,0.93593,0.90229,0.95695,0.88122,0.43133,0.38118,0.95565,0.00406,0.00406,0.00406
122,86488.3,0.62446,0.5208,1.16595,0.93197,0.90486,0.95805,0.88071,0.42964,0.38359,0.95363,0.0040105,0.0040105,0.0040105
123,87097.3,0.61785,0.51742,1.16255,0.92777,0.90937,0.95726,0.88237,0.42982,0.38093,0.95356,0.003961,0.003961,0.003961
124,87701.3,0.61854,0.51842,1.16655,0.94014,0.89781,0.9564,0.88228,0.42778,0.37707,0.9519,0.0039115,0.0039115,0.0039115
125,88306,0.61424,0.51556,1.16254,0.94243,0.89849,0.95514,0.88085,0.42971,0.37683,0.95075,0.003862,0.003862,0.003862
126,88915.4,0.61004,0.51503,1.15605,0.941,0.90522,0.9559,0.88028,0.42907,0.37718,0.94918,0.0038125,0.0038125,0.0038125
127,89514.2,0.61113,0.50671,1.15824,0.94719,0.89498,0.95696,0.88093,0.42942,0.37538,0.94934,0.003763,0.003763,0.003763
128,90124.6,0.60815,0.50723,1.15799,0.94972,0.89346,0.95737,0.88207,0.43116,0.37276,0.95142,0.0037135,0.0037135,0.0037135
129,90739.4,0.60239,0.50246,1.14847,0.95135,0.89562,0.95806,0.88416,0.43011,0.37055,0.95107,0.003664,0.003664,0.003664
130,91351,0.61254,0.51366,1.162,0.95277,0.89144,0.95746,0.88446,0.42793,0.37227,0.95014,0.0036145,0.0036145,0.0036145
131,91962.6,0.60548,0.507,1.15433,0.95453,0.88609,0.95641,0.88285,0.42929,0.3728,0.95323,0.003565,0.003565,0.003565
132,92570,0.60915,0.51201,1.15674,0.95113,0.88686,0.95503,0.88196,0.42744,0.37671,0.95208,0.0035155,0.0035155,0.0035155
133,93182.4,0.6027,0.51457,1.15505,0.95036,0.88384,0.95403,0.88235,0.42836,0.37486,0.95523,0.003466,0.003466,0.003466
134,93850.9,0.60295,0.50377,1.14928,0.94966,0.88601,0.95339,0.88358,0.42573,0.37672,0.95358,0.0034165,0.0034165,0.0034165
135,94442.6,0.59633,0.49915,1.14777,0.95012,0.89024,0.95412,0.88309,0.42532,0.37693,0.95271,0.003367,0.003367,0.003367
136,95050.9,0.59603,0.50142,1.14882,0.95342,0.88706,0.95432,0.88148,0.42825,0.37853,0.95418,0.0033175,0.0033175,0.0033175
137,95663.7,0.59799,0.50047,1.15232,0.9537,0.88675,0.95429,0.88045,0.43069,0.37859,0.95475,0.003268,0.003268,0.003268
138,96273.1,0.59869,0.49113,1.14801,0.95318,0.88712,0.95497,0.88107,0.43159,0.37696,0.95618,0.0032185,0.0032185,0.0032185
139,96884.6,0.59539,0.49381,1.14807,0.95526,0.88508,0.95477,0.88133,0.43075,0.37683,0.95625,0.003169,0.003169,0.003169
140,97494,0.59185,0.48834,1.15044,0.95544,0.88519,0.95542,0.88263,0.42838,0.3759,0.95386,0.0031195,0.0031195,0.0031195
141,98105.1,0.58408,0.47889,1.14333,0.95608,0.88572,0.95572,0.88297,0.42567,0.37496,0.9529,0.00307,0.00307,0.00307
142,98716.3,0.58603,0.49496,1.1424,0.95594,0.88493,0.95647,0.88309,0.42571,0.37387,0.95301,0.0030205,0.0030205,0.0030205
143,99326.7,0.58656,0.49208,1.14713,0.95311,0.88751,0.95626,0.88317,0.42524,0.3731,0.95239,0.002971,0.002971,0.002971
144,99936,0.58956,0.48824,1.14525,0.95341,0.88855,0.95727,0.88518,0.42406,0.3718,0.95075,0.0029215,0.0029215,0.0029215
145,100554,0.58568,0.48488,1.14624,0.95337,0.88726,0.95749,0.88558,0.42319,0.37098,0.94961,0.002872,0.002872,0.002872
146,101167,0.58857,0.4891,1.14264,0.95307,0.88625,0.95747,0.88545,0.42244,0.37073,0.94915,0.0028225,0.0028225,0.0028225
147,101776,0.58039,0.47637,1.13675,0.95348,0.88578,0.95723,0.88608,0.42296,0.37052,0.94983,0.002773,0.002773,0.002773
148,102387,0.58092,0.48112,1.1404,0.95431,0.88554,0.95718,0.88584,0.42385,0.36991,0.95037,0.0027235,0.0027235,0.0027235
149,102995,0.58705,0.4827,1.14161,0.95496,0.88613,0.95722,0.88565,0.423,0.36853,0.95123,0.002674,0.002674,0.002674
150,103606,0.57548,0.48111,1.13512,0.95097,0.88861,0.95649,0.88538,0.42042,0.36849,0.94931,0.0026245,0.0026245,0.0026245
151,104214,0.57079,0.4746,1.12837,0.95138,0.88833,0.95587,0.88652,0.41823,0.3679,0.94759,0.002575,0.002575,0.002575
152,104827,0.57973,0.483,1.13459,0.95148,0.88809,0.95545,0.88572,0.41788,0.36801,0.94766,0.0025255,0.0025255,0.0025255
153,105440,0.57707,0.47369,1.13219,0.95444,0.88562,0.95525,0.88669,0.41754,0.36838,0.94767,0.002476,0.002476,0.002476
154,898.287,0.56626,0.46594,1.13239,0.9539,0.88678,0.95527,0.88626,0.41751,0.36796,0.94823,0.0024265,0.0024265,0.0024265
155,1558.67,0.56664,0.46318,1.12687,0.95182,0.88748,0.95497,0.88573,0.41739,0.36906,0.94794,0.002377,0.002377,0.002377
156,2178.77,0.57172,0.47542,1.13071,0.95222,0.88435,0.95446,0.88578,0.41804,0.37023,0.94886,0.0023275,0.0023275,0.0023275
157,2788.68,0.57014,0.47582,1.12881,0.9559,0.88288,0.95429,0.88611,0.41725,0.36922,0.94855,0.002278,0.002278,0.002278
158,3402.12,0.56138,0.46543,1.12389,0.95448,0.88348,0.95464,0.88564,0.41649,0.36896,0.94849,0.0022285,0.0022285,0.0022285
159,4009.85,0.56936,0.46977,1.13181,0.95705,0.88285,0.95454,0.88575,0.41596,0.36844,0.94846,0.002179,0.002179,0.002179
160,4615.9,0.56829,0.46195,1.12631,0.95965,0.88117,0.9544,0.88685,0.41456,0.36848,0.94747,0.0021295,0.0021295,0.0021295
161,5230.41,0.55899,0.45715,1.12259,0.95681,0.88209,0.95441,0.88748,0.41441,0.36785,0.94768,0.00208,0.00208,0.00208
162,5844.9,0.56398,0.46066,1.12978,0.95661,0.88191,0.95498,0.88712,0.4144,0.36879,0.94768,0.0020305,0.0020305,0.0020305
163,6458.87,0.55892,0.46447,1.12526,0.96077,0.88047,0.95467,0.88707,0.41406,0.36866,0.94773,0.001981,0.001981,0.001981
164,7076.12,0.55941,0.46572,1.12603,0.96035,0.88012,0.95542,0.88859,0.41315,0.3685,0.94688,0.0019315,0.0019315,0.0019315
165,7678.51,0.55893,0.45604,1.12483,0.95859,0.88153,0.9552,0.88847,0.4125,0.36792,0.94649,0.001882,0.001882,0.001882
166,8279.43,0.56044,0.45079,1.12323,0.95863,0.88266,0.95488,0.88801,0.41202,0.36666,0.94564,0.0018325,0.0018325,0.0018325
167,8894.92,0.5604,0.45465,1.12556,0.95895,0.88289,0.95506,0.88787,0.41127,0.36636,0.94471,0.001783,0.001783,0.001783
168,9513.54,0.55809,0.45542,1.1245,0.95905,0.88341,0.95508,0.88804,0.41084,0.36579,0.94459,0.0017335,0.0017335,0.0017335
169,10119.6,0.5579,0.45628,1.12391,0.95892,0.88271,0.95535,0.88833,0.41082,0.36587,0.94449,0.001684,0.001684,0.001684
170,10789.1,0.5523,0.45288,1.11721,0.95774,0.88528,0.95543,0.88801,0.41052,0.36661,0.94413,0.0016345,0.0016345,0.0016345
171,11463.8,0.55435,0.45481,1.12098,0.95805,0.88699,0.95612,0.88801,0.41023,0.36654,0.94374,0.001585,0.001585,0.001585
172,12084.7,0.54982,0.44554,1.11867,0.95692,0.88395,0.95579,0.88824,0.4102,0.36645,0.94362,0.0015355,0.0015355,0.0015355
173,12718.9,0.54417,0.44094,1.11631,0.95575,0.88447,0.9558,0.88793,0.41062,0.36667,0.94371,0.001486,0.001486,0.001486
